"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Tspan8",6.98465977236661,2.75308229193909,1.21050975589833,0.000967155365224957,0.202382001130995
"Ntn4",9719.49784975091,-2.56155843063266e-05,0.00144272529470882,0.00100228160283159,0.20769610224114
"Nxph3",40.3325135361974,1.30198136069839,0.645100601677099,0.00102431648491762,0.208219152896016
"Mpeg1",363.295367307106,0.686912774449187,0.338177824416225,0.00101623361648172,0.208219152896016
"Gm43085",3.58755113658013,1.80489490404479e-06,0.00144269529301248,0.00105164902395462,0.211758460068749
"Frmd3",31.7507436023771,0.828874695429312,0.407391874027172,0.00107390821930796,0.213314662747516
"Nefl",37.7353239950521,-6.74037127813938e-06,0.00144269737460674,0.00107936579726067,0.213314662747516
"Ak5",361.701978437868,0.415475350712863,0.209445277320224,0.00112998759903591,0.215316979839337
"Prss8",7.91554320639604,3.18985354401015,1.47069899094743,0.00113993715900698,0.215316979839337
"Gria4",165.342702321581,0.509955554852918,0.257445915243838,0.00112963918270318,0.215316979839337
"Slc5a8",14.2482085209943,2.27145990001901,1.15003013849422,0.0011097021319007,0.215316979839337
"Chdh",41.0592181712376,0.993616424723395,0.500769158624246,0.00111831691232536,0.215316979839337
"Grin2b",5.57071741091296,-2.82677387747224e-06,0.0014426956594654,0.00116261881399612,0.21767487689415
"Ctsk",57718.5666108003,0.35336992952998,0.183805416231512,0.00126470823687677,0.225081078523023
"Dkk2",4966.53499518988,-1.76339735087918e-05,0.00144270786804462,0.00128653914822943,0.225081078523023
"Fgf23",383.326471612624,0.582716553512603,0.301327620977009,0.00123136354170137,0.225081078523023
"Kcnk1",60.0445533695545,0.65375063665547,0.340608755202609,0.00127688432525399,0.225081078523023
"Gpr83",3.99540826873882,3.29697115747251,1.82353066700262,0.0012727527267731,0.225081078523023
"Arg2",13.2192720988744,1.4190759930539,0.723911175514377,0.00127697431699739,0.225081078523023
"Frmpd2",81.2870318756512,0.692515289099634,0.361446841247042,0.00127616072574203,0.225081078523023
"Ip6k3",29.3617603411514,-7.52427975360469e-06,0.00144269760681569,0.00121390863174956,0.225081078523023
"Lratd2",112.803526404872,0.465401000447727,0.244688474727197,0.00131692383672288,0.228523759113927
"Rab27a",222.868550633415,0.526849384038553,0.280285340153718,0.00138086812825929,0.237687494593276
"Cck",25.0419452804616,1.2127184541964,0.664952881157996,0.00145334991897974,0.248162405365628
"Tnn",4000.66335653505,-0.487062202643596,0.266541059099667,0.0014658340388852,0.248307632745759
"Bicdl2",3.671839617766,1.62608988116309e-06,0.00144269524780344,0.00148095745584628,0.248894141240811
"Cblc",8.63468569554543,1.83395804596003,0.979257632062312,0.00157116267809298,0.252142076700876
"Vipr1",43.349133181095,0.736799483890058,0.407286770359814,0.00154983348697441,0.252142076700876
"Wfdc18",28.4167494335929,3.40336373242161,2.24381710337836,0.0015606500396897,0.252142076700876
"Krt14",92.5927580243108,2.67662079217813,1.71939986203871,0.00155657331937671,0.252142076700876
"Anxa8",4703.82310906715,-0.359620289047784,0.197236346539565,0.00155930657315029,0.252142076700876
"Cd14",575.747118104721,0.432760568291991,0.239100070484821,0.00153849669912658,0.252142076700876
"Gm10180",12.3557234660254,1.46646430512956,0.791047906026085,0.00158522792856926,0.252500782890912
"Coro2a",108.084330351742,0.604988567492806,0.342781458764045,0.00164579553905103,0.256407737120476
"Dok2",30.8316208329415,0.882744734051486,0.494063743009804,0.00164068072514999,0.256407737120476
"Cxadr",80.1505460873236,1.73939928243524,1.03457283782964,0.00164216500907768,0.256407737120476
