"","NEG1","NEG2","NEG3","NEG4","POS1","POS2","POS3","POS4"
"Tomm6os",8,8,10,14,9,13,13,13
"Prickle4",2,6,0,6,1,1,4,3
"Frs3",305,196,318,195,258,259,308,392
"Frs3os",0,1,0,0,0,0,0,0
"Pgc",0,0,0,0,0,0,0,2
"Tfeb",1045,1313,1427,1123,1375,1955,1408,2018
"Mdfi",243,361,432,328,438,680,509,737
"Foxp4",4198,6204,7276,6251,5919,7086,5811,9042
"Gm15556",0,0,0,2,0,0,1,2
"Mif-ps8",0,0,0,0,1,1,1,0
"A730006G06Rik",0,0,0,0,0,2,0,0
"1700067P10Rik",0,0,0,0,1,0,0,0
"Gm49946",3,0,0,0,0,0,0,0
"9830107B12Rik",2,2,1,2,0,0,0,0
"A530064D06Rik",3,4,1,1,6,0,19,3
"Trem1",40,11,11,12,15,9,44,23
"Trem3",3,1,0,2,4,2,1,0
"Treml4",1,2,0,0,1,0,1,3
"Treml2",3,5,3,0,0,0,8,4
"B430306N03Rik",6,0,11,3,6,3,34,5
"Trem2",3,32,27,30,38,22,113,26
"Treml1",1,2,0,0,1,1,1,0
"Nfya",2852,3320,4467,3971,3557,4777,4849,6189
"Oard1",813,681,653,500,558,791,760,906
"Gm49893",2,0,0,4,0,0,0,0
"Apobec2",8,3,0,3,3,5,2,23
"Tspo2",0,0,0,0,0,0,0,1
"Unc5cl",2,0,0,0,4,3,0,0
"Gm45330",0,0,0,0,0,2,1,0
"Lrfn2",148,102,115,113,73,96,176,172
"Gm9586",0,0,0,1,0,0,0,0
"Gm20540",0,0,0,0,1,0,1,0
"Mocs1",1492,1783,1955,1399,1440,1665,1800,2135
"Daam2",2197,3246,2737,3445,2718,2880,3487,4883
"Kif6",15,27,27,26,27,10,35,30
"Gm16554",0,0,0,0,0,0,0,1
"Rftn1",3941,5087,6534,4653,5645,6472,5815,7721
"Gm18735",0,0,0,0,0,0,1,0
"Gm41597",1,0,0,0,0,0,0,0
"Dazl",0,0,2,1,3,2,4,6
"Plcl2",498,696,661,565,622,693,740,1068
"Gm7334",22,11,23,10,17,14,23,14
"Tbc1d5",1753,1971,2983,2517,2584,2666,2976,4639
"Satb1",352,388,393,389,343,362,526,641
"E430014B02Rik",2,0,1,3,0,0,1,2
"C230085N15Rik",4,0,0,0,0,0,0,0
"Gm36931",1,0,0,0,0,0,0,0
"5830444F18Rik",0,1,0,0,0,0,2,0
"Gm37248",4,3,0,0,0,0,0,0
"Gm27217",2,0,0,0,0,3,0,0
"Kcnh8",2,12,2,6,0,7,22,12
"Gm29770",0,0,1,1,1,2,1,0
"Gm9214",0,0,0,0,0,0,0,1
"Efhb",319,221,337,276,228,265,446,416
"Tpt1-ps7",3,7,5,2,5,7,6,8
"Rab5a",4475,5001,5470,5283,4665,5845,7357,9654
"Kat2b",4743,4954,6038,5363,4831,5352,7164,9131
"Gm6919",1,1,0,1,0,0,0,1
"Sgo1",50,70,40,60,36,48,59,91
"Gm31532",3,0,1,1,2,4,4,2
"Rab5a-ps",0,1,0,0,0,1,0,0
"Ckb-ps2",0,0,1,0,0,1,0,0
"Mrps36-ps1",2,0,4,2,0,3,2,1
"Ckb-ps1",0,1,0,0,0,0,0,0
"Slc5a7",4,9,10,16,102,29,18,50
"Gm9224",1,0,1,1,1,1,2,6
"Gm49919",0,1,0,0,0,0,0,0
"Trp53-ps",13,16,49,25,38,34,23,52
"Gm17377",0,0,1,0,0,0,0,1
"St6gal2",0,0,0,0,0,3,0,0
"Vmn2r118",0,0,0,0,0,0,0,3
"Pot1b",510,602,460,471,541,582,800,926
"Adgre4",0,0,2,2,8,5,15,0
"Gm18417",2,0,0,2,0,0,1,4
"Zfp119a",139,139,147,118,123,148,198,243
"Zfp959",228,263,245,250,221,287,354,415
"Rpl21-ps6",2,1,0,1,1,1,1,2
"Zfp119b",72,61,52,51,33,52,73,76
"Ebi3",0,0,3,5,8,3,3,5
"Gm16712",4,2,5,8,5,9,8,1
"Yju2",311,476,507,323,376,498,433,663
"Shd",13,34,26,38,20,27,37,26
